%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tags
s	1	0	1	1	1	n	n	p		instrux.jpg			instrux
s	1	0	2	2	1	n	n	p		fix.jpg			fix
s	1	0	6	6	1	n	n	t		An automatic thought is a thought that seems to pop into our heads. Everyone has them.			cbt1_1
s	1	0	1	1	1	n	n	p		fix.jpg			fix
s	1	0	6	6	1	n	n	t		We are usually not trying to think about them; that's why we call them automatic.			cbt1_2
s	1	0	1	1	1	n	n	p		fix.jpg			fix
s	1	0	6	6	1	n	n	t		"Most of the time, these thoughts are very quick and we are more aware of the emotion these thoughts make us feel."			cbt1_3
s	1	0	1	1	1	n	n	p		fix.jpg			fix
s	1	0	6	6	1	n	n	t		"Lots of times the thoughts are distorted in some way, but we react as if they are true."			cbt1_4
s	1	0	1	1	1	n	n	p		fix.jpg			fix
s	1	0	6	6	1	n	n	t		What we will do is teach you to identify your automatic thoughts and then to evaluate them to see just how accurate they are.			cbt1_5
s	1	0	2	2	1	n	n	p		fix.jpg			fix
s	1	0	3	3	1	"""12345"""	n	p		relevance.jpg			relevance
s	1	0	2	2	1	n	n	p		fix.jpg			fix
s	1	0	3	3	1	"""12345"""	n	p		liking.jpg			liking
s	1	0	2	2	1	n	n	p		fix.jpg			fix
s	1	0	3	3	1	"""12345"""	n	p		helpfulness.jpg			helpfulness
s	1	0	2	2	1	n	n	p		fix.jpg			fix
%							0		0				
