%stFile	tags
We will work to change thoughts and behaviors that are feeding the negative feelings you've been experiencing.	cbt01_1
"For example, if you feel depressed, you will likely have many negative thoughts, possibly about yourself or others, or about your life in general."	cbt01_2
"Also, when you're depressed, you're more likely to act in ways that feed your negative thoughts and sadness."	cbt01_3
"These behaviors may include withdrawing socially, avoiding tasks, and poor self-care."	cbt01_4
"In therapy, you will learn skills to change unhelpful thought and behavior patterns, which will help you feel better emotionally."	cbt01_5
"When depressed, people frequently overlook their negative thoughts or cognitions, and assume what they are thinking is truth or reality. In therapy, we work to question the reality created by depressive thoughts."	cbt02_1
The first step in doing this is learning to catch or identify automatic thoughts.	cbt02_2
"Automatic thoughts are thoughts that pop into our heads, and most of the time, they happen automatically and outside of our awareness."	cbt02_3
"We are usually more aware of the emotions these thoughts make us feel, such as sad or depressed, and we do not question what we are thinking. But often, the thoughts we are having are distorting reality in some way."	cbt02_4
"Before we can even start questioning our thoughts, we have to slow down our thoughts and know what may be fueling our sadness."	cbt02_5
"One way to do this is to systematically write down moments we feel a negative emotion, and identify what thoughts we were having during those moments."	cbt02_6
"As you get better at identifying your automatic thoughts, you will see that these negative thoughts that flood your mind can fuel your sadness and depression."	cbt03_1
These thoughts can keep you feeling lethargic and inadequate.	cbt03_2
Finding ways to notice and evaluate the accuracy of your negative thoughts are key to feeling better.	cbt03_3
"When we look at your thoughts, sometimes they are true, not true, or have a grain of truth."	cbt04_1
We will teach you how to evaluate the accuracy of your thoughts by looking at the evidence.	cbt04_2
What evidence is there that the thought is true?	cbt04_3
What evidence is there that the thought is not true?	cbt04_4
"Because your automatic thoughts are so quick, they are hard to notice or remember."	cbt05_1
"We want to practice identifying them by writing them down on what we call a ""Thought Record."""	cbt05_2
We usually notice how we're feeling before we notice what we're thinking.	cbt05_3
"I want you to notice moments when you feel a negative emotion and write down on the Thought Record what the situation was, what emotions you were feeling, and then what thoughts you had when the event or situation happened."	cbt05_4
It is crucial to write down your automatic thoughts.	cbt06_1
Writing them down forces you to look at them more objectively.	cbt06_2
It also helps you see if there are any patterns or mistakes in your thoughts.	cbt06_3
"There are many common mistakes, or Òcognitive distortions,Ó people make in their thinking."	cbt07_1
"By figuring out what cognitive distortions you may be having, you can respond to situations in a more healthy way. "	cbt07_2
"One cognitive distortion is called ""all or nothing thinking,"" where you see things in very black and white terms."	cbt07_3
"For example, if you were feeling depressed and unable to finish your homework, you might think that you are a failure and will be a failure forever."	cbt07_4
Earlier we talked about finding evidence for your automatic thoughts.	cbt08_1
"Doing a ""behavioral experiment"" is one way to collect and examine the evidence. To do this, you may act out your automatic thought to see if what you predict happens. "	cbt08_2
"For example, say you think you will feel worse if you get out of bed and take a shower because you feel so sad."	cbt08_3
You can test that out by getting out of bed and showering when you feel depressed and want to lay in bed. 	cbt08_4
We can then see if you do indeed feel worse as your automatic thought predicts you will.	cbt08_5
"When we do behavioral experiments, we will create hypotheses to test. In Ò""ypothesis testing,"" we challenge unhelpful behaviors and thoughts by testing out alternative ways of responding. "	cbt09_1
"We do this by developing a behavioral experiment to test if your new way of thinking or new behavior makes you feel better than your current thoughts and behaviors. We then ""collect data"" as you run the experiment."	cbt09_2
"For example, you know that avoiding your email is unhelpful for your depression. You have the hypothesis that checking your email will only worsen your mood and depression."	cbt09_3
"You can then test out this hypothesis by checking your email at a specific time, and rating your mood before and after you checked your email."	cbt09_4
"Once you've collected the data, we will evaluate the benefits of challenging your avoidance."	cbt09_5
Doing these behavioral experiments is difficult and can bring up many emotions.	cbt10_1
"To help better understand how intensely you are feeling these emotions, we will teach you to use a rating scale called the subjective units of distress scale (SUDS)."	cbt10_2
"Using the SUDS, your emotions will range in intensity from 0 (not noticeable) to 100 (the highest extreme)."	cbt10_3
The SUDS will help you communicate what you are feeling more accurately and in an understandable way to both of us.	cbt10_4
"As you become more skilled at using the SUDS, you will feel clearer about your feelings and more able to make decisions about what you would like to try to do in therapy."	cbt10_5
Effectively managing stressful life problems requires a planful approach.	pst01_1
The set of skills required to do this require both learning and practice and include four planful problem-solving skills.	pst01_2
We teach you these skills and help you practice them in your everyday life by completing PST planful problem-solving worksheets.	pst01_3
"The four skills are problem definition, generating alternatives, decision-making, and solution implementation and verification."	pst01_4
"One skill that may help you is called ""problem definition,"" or the clarifying the nature of a problem."	pst02_1
You will learn how to set a realistic problem-solving goal and identify the obstacles that are currently preventing you from reaching that goal.	pst02_2
"For example, if you want to raise your GPA, we will figure out a realistic GPA that you can achieve and identify the very real obstacles that are currently preventing you from reaching that."	pst02_3
"One skill that may help you is the ""generation of alternatives,"" in which we teach you to use your creative skills to brainstorm different types of solutions."	pst03_1
"You will come up with as many solutions as you can. Not all will be the best solution, but it helps you think of alternatives."	pst03_2
"For example, if you are struggling to talk to your roommate about cleaning up after themselves, you can use the brainstorming tool to discover that there are many ways to get closer to your goal and get past the obstacles in your way."	pst03_3
"Using the skill of ""decision making,"" you will learn how to look at the likely consequences of different solution ideas."	pst04_1
"After looking at these consequences, you will learn how to develop an action plan that is geared toward achieving the problem-solving goal."	pst04_2
"For example, if you want to raise your GPA, you can develop an action plan that represents the best solution match for you."	pst04_3
"One skill that may help you is called ""solution implementation and verification."""	pst05_1
"This skill involves carrying out the action plan, monitoring and evaluating the consequences of the plan, and determining whether one's problem-solving efforts have been successful."	pst05_2
"For example, if you are struggling to talk to your roommate about cleaning up after themselves, once you have figured out the best solution, you can carry it out, see what happens, and evaluate if the outcome is what you wanted."	pst05_3
"Through ""externalization"" you will experience how writing things down, recording messages for yourself on your iPhone, or talking through a difficult problem helps you to be less overwhelmed."	pst06_1
"Try getting the brain overload you are experiencing with a difficult problem ""out of your head"" and onto paper, and you may notice that the thinking part of your brain can better understand and begin to organize this challenging problem or goal."	pst06_2
"For example, trying to talk to your parents about your current relationship may be really hard."	pst06_3
"Let's write down all of the thoughts, feelings, and concerns that are contributing to your experience of being overwhelmed as a way to begin to organize all of this information."	pst06_4
"Through visualization, you learn to use visual imagery to help understand and clarify a current problem or goal."	pst07_1
One way is to try picturing the problem in your imagination to help you better define it.	pst07_2
You can also use visualization to rehearse how you'll carry out a solution or action plan that you have developed.	pst07_3
"Finally, you can use visualization to help calm you when you experience strong emotions associated with stress."	pst07_4
"We teach you the use of ""simplification"" to break down a large or complex problem to make it more manageable."	pst08_1
You will learn how to break down these big problems into smaller steps.	pst08_2
"For example, consider how you would begin to break down a complex situation like getting into medical school into smaller pieces to accomplish one at a time."	pst08_3
"When facing a stressful problem or daunting goal, it can be hard to believe that there are ways to effectively manage the stress, reach a goal, or solve the problem."	pst09_1
One tool that can help uses visualization in a special way to give you a glimpse of the future.	pst09_2
"Try imagining what it would be like at a moment in time in the future when a stressful problem you are facing is largely resolved and the obstacles overcome, such as making a change in your plan for a career."	pst09_3
"This won't immediately solve the problem but will give you an experience of what it would feel like to reach your goal and experience a ""light at the end of the tunnel."""	pst09_4
We all need a picture in our head of what we are working toward. We will continue to practice doing this together.	pst09_5
"This important toolkit is referred to as the ""SSTA"" method."	pst10_1
"In SSTA, the first S = Stop (and be aware of what you are experiencing)."	pst10_2
"The second S = Slow down and take a moment to ""turn down the volume of strong emotions."" You can take a few deep breaths, or use other techniques, so you can still listen to your feelings which give you important information, but allow your brain to keep working."	pst10_3
"Ultimately, you will need to think carefully and planfully about an action plan that gives you the best chance of reaching your goals or solving a problem. Only after reducing intense emotional arousal and ""turning down the volume,"" can you planfully and carefully."	pst10_4
"Finally, T = Think, and A = Act."	pst10_5
