

EXPERIMENT INFO for MSS_PROP, ~/Desktop/PROP//output//999_PROP_PROP_combined.txt_25-Jul-2018_10-52.mat

Subject Code = 999
Input File = PROP_combined.txt
Experiment notes: This is the script for the PRP task, updated 7-19-18.

Tag	Trial	Order	Onset	Dur	RT	Response

instrux	1	1	0.0121	1.0027	0.000	
fix	2	2	1.0278	2.0022	0.000	
cbt1	3	3	3.0597	6.0015	0.000	
fix	4	4	9.0790	2.0005	0.000	
cbt1	5	5	11.1104	6.0026	0.000	
fix	6	6	17.1291	2.0015	0.000	
cbt1	7	7	19.1615	6.0012	0.000	
fix	8	8	25.1800	2.0001	0.000	
cbt1	9	9	27.2117	6.0001	0.000	
fix	10	10	33.2294	2.0020	0.000	
cbt1	11	11	35.2622	6.0014	0.000	
fix	12	12	41.2802	2.0004	0.000	
relevance	13	13	43.2962	3.0010	0.000	
fix	14	14	46.3136	2.0004	0.000	
liking	15	15	48.3297	3.0016	0.000	
fix	16	16	51.3475	2.0011	0.000	
helpfulness	17	17	53.3642	3.0012	0.000	
fix	18	18	56.3803	2.0016	0.000	
instrux	19	19	58.3971	1.0015	0.000	
fix	20	20	59.4148	2.0020	0.000	
cbt2	21	21	61.4476	6.0022	0.000	
fix	22	22	67.4648	2.0016	0.000	
cbt2	23	23	69.4991	6.0000	0.000	
fix	24	24	75.5163	2.0018	0.000	
cbt2	25	25	77.5491	6.0009	0.000	
fix	26	26	83.5664	2.0012	0.000	
cbt2	27	27	85.5983	6.0003	0.000	
fix	28	28	91.6158	2.0017	0.000	
cbt2	29	29	93.6344	6.0021	0.000	
fix	30	30	99.6506	2.0016	0.000	
relevance	31	31	101.6679	3.0023	0.000	
fix	32	32	104.6839	2.0013	0.000	
liking	33	33	106.7010	3.0024	0.000	
fix	34	34	109.7173	2.0001	0.000	
helpfulness	35	35	111.7336	3.0004	0.000	
fix	36	36	114.7516	2.0013	0.000	
instrux	37	37	116.7683	1.0003	0.000	
fix	38	38	117.7852	2.0003	0.000	
cbt3	39	39	119.8178	6.0005	0.000	
fix	40	40	125.8367	2.0016	0.000	
cbt3	41	41	127.8520	6.0016	0.000	
fix	42	42	133.8700	2.0004	0.000	
cbt3	43	43	135.8867	6.0011	0.000	
fix	44	44	141.9024	2.0015	0.000	
cbt3	45	45	143.9205	6.0016	0.000	
fix	46	46	149.9369	2.0012	0.000	
relevance	47	47	151.9536	3.0021	0.000	
fix	48	48	154.9705	2.0010	0.000	
liking	49	49	156.9888	3.0009	0.000	
fix	50	50	160.0046	2.0000	0.000	
helpfulness	51	51	162.0211	3.0013	0.000	
fix	52	52	165.0376	2.0000	0.000	
instrux	53	53	167.0552	1.0000	0.000	
fix	54	54	168.0717	2.0022	0.000	
cbt4	55	55	170.1048	6.0005	0.000	
fix	56	56	176.1237	2.0011	0.000	
cbt4	57	57	178.1550	6.0022	0.000	
fix	58	58	184.1732	2.0001	0.000	
cbt4	59	59	186.1912	6.0004	0.000	
fix	60	60	192.2062	2.0023	0.000	
cbt4	61	61	194.2225	6.0024	0.000	
fix	62	62	200.2403	2.0002	0.000	
cbt4	63	63	202.2584	6.0022	0.000	
fix	64	64	208.2741	2.0010	0.000	
relevance	65	65	210.2906	1.7638	1.752	5
fix	66	66	213.2912	2.0018	0.000	
liking	67	67	215.3088	1.1603	1.154	3
fix	68	68	218.3103	2.0013	0.000	
helpfulness	69	69	220.3250	3.0007	0.000	
fix	70	70	223.3429	2.0027	0.000	
instrux	71	71	225.3598	1.0019	0.000	
fix	72	72	226.3768	2.0011	0.000	
cbt5	73	73	228.4088	6.0021	0.000	
fix	74	74	234.4267	2.0008	0.000	
cbt5	75	75	236.4601	6.0012	0.000	
fix	76	76	242.4765	2.0012	0.000	
cbt5	77	77	244.5103	6.0001	0.000	
fix	78	78	250.5282	2.0028	0.000	
cbt5	79	79	252.5603	6.0002	0.000	
fix	80	80	258.5793	2.0000	0.000	
relevance	81	81	260.5950	2.7960	2.789	5
fix	82	82	263.5964	2.0015	0.000	
liking	83	83	265.6123	0.4112	0.409	4
fix	84	84	268.6132	2.0006	0.000	
helpfulness	85	85	270.6283	3.0017	0.000	
fix	86	86	273.6468	2.0026	0.000	
instrux	87	87	275.6639	1.0003	0.000	
fix	88	88	276.6794	2.0002	0.000	
cbt6	89	89	278.7125	6.0017	0.000	
fix	90	90	284.7303	2.0001	0.000	
cbt6	91	91	286.7633	6.0019	0.000	
fix	92	92	292.7802	2.0037	0.000	
cbt6	93	93	294.8143	6.0022	0.000	
fix	94	94	300.8315	2.0023	0.000	
cbt6	95	95	302.8479	6.0023	0.000	
fix	96	96	308.8651	2.0026	0.000	
cbt6	97	97	310.8977	6.0020	0.000	
fix	98	98	316.9154	2.0006	0.000	
relevance	99	99	318.9320	3.0029	0.000	
fix	100	100	321.9492	2.0006	0.000	
liking	101	101	323.9660	3.0002	0.000	
fix	102	102	326.9829	2.0004	0.000	
