

EXPERIMENT INFO for MSS_PROP, PROP001_PROP001_run1.txt_20-Aug-2018_13-24.mat

Subject Code = PROP001
Input File = PROP001_run1.txt
Experiment notes: This is the script for the PRP task, updated 7-19-18.

Tag	Trial	Order	Onset	Dur	RT	Response

instrux	1	1	0.0297	5.0004	0.000	
fix	2	2	5.0464	1.0005	0.000	
cbt09	3	3	6.2298	8.0000	0.000	
fix	4	4	14.2630	0.2001	0.000	
cbt09	5	5	14.5130	8.0001	0.000	
fix	6	6	22.5297	0.2006	0.000	
cbt09	7	7	22.7630	8.0002	0.000	
fix	8	8	30.7964	0.2001	0.000	
cbt09	9	9	31.0298	8.0004	0.000	
fix	10	10	39.0464	0.2006	0.000	
cbt09	11	11	39.2798	8.0004	0.000	
fix	12	12	47.2963	0.2001	0.000	
cbt09	13	13	47.5298	8.0006	0.000	
fix	14	14	55.5464	0.2002	0.000	
cbt09	15	15	55.7798	8.0002	0.000	
fix	16	16	63.7964	0.2003	0.000	
cbt09	17	17	64.0298	8.0002	0.000	
fix	18	18	72.0464	0.2002	0.000	
relevance	19	19	72.2631	3.0001	0.000	
fix	20	20	75.2964	1.0004	0.000	
liking	21	21	76.3300	0.2857	0.223	7
fix	22	22	79.3131	1.0001	0.000	
helpfulness	23	23	80.3297	1.6901	1.687	7
fix	24	24	83.3297	5.0003	0.000	
instrux	25	25	88.3463	5.0002	0.000	
fix	26	26	93.3631	1.0005	0.000	
cbt06	27	27	94.3964	8.0003	0.000	
fix	28	28	102.4130	0.2004	0.000	
cbt06	29	29	102.6297	8.0005	0.000	
fix	30	30	110.6464	0.2005	0.000	
cbt06	31	31	110.8798	8.0003	0.000	
fix	32	32	118.8963	0.2005	0.000	
relevance	33	33	119.1297	1.8260	1.822	5
fix	34	34	122.1131	1.0001	0.000	
liking	35	35	123.1475	2.7192	2.717	6
fix	36	36	126.1297	1.0003	0.000	
helpfulness	37	37	127.1464	2.0403	2.038	5
fix	38	38	130.1464	5.0002	0.000	
instrux	39	39	135.1797	5.0003	0.000	
fix	40	40	140.1964	1.0004	0.000	
pst01	41	41	141.2298	8.0004	0.000	
fix	42	42	149.2630	0.2003	0.000	
pst01	43	43	149.5131	8.0004	0.000	
fix	44	44	157.5297	0.2004	0.000	
pst01	45	45	157.7631	8.0004	0.000	
fix	46	46	165.7964	0.2005	0.000	
pst01	47	47	166.0297	8.0005	0.000	
fix	48	48	174.0464	0.2002	0.000	
relevance	49	49	174.2631	1.4600	1.457	6
fix	50	50	177.2631	1.0003	0.000	
liking	51	51	178.2797	2.1473	2.145	6
fix	52	52	181.2964	1.0003	0.000	
helpfulness	53	53	182.3306	1.2161	1.214	6
fix	54	54	185.3131	5.0006	0.000	
instrux	55	55	190.3297	5.0007	0.000	
fix	56	56	195.3631	1.0002	0.000	
cbt05	57	57	196.3964	8.0006	0.000	
fix	58	58	204.4131	0.2004	0.000	
cbt05	59	59	204.6465	8.0005	0.000	
fix	60	60	212.6797	0.2001	0.000	
cbt05	61	61	212.9131	8.0000	0.000	
fix	62	62	220.9297	0.2002	0.000	
cbt05	63	63	221.1798	8.0003	0.000	
fix	64	64	229.1964	0.2005	0.000	
relevance	65	65	229.4305	0.8359	0.833	7
fix	66	66	232.4131	1.0005	0.000	
liking	67	67	233.4303	2.6606	2.658	7
fix	68	68	236.4297	1.0003	0.000	
helpfulness	69	69	237.4464	0.5401	0.538	7
fix	70	70	240.4631	5.0004	0.000	
instrux	71	71	245.4964	5.0001	0.000	
fix	72	72	250.5131	1.0004	0.000	
pst10	73	73	251.5298	8.0006	0.000	
fix	74	74	259.5464	0.2001	0.000	
pst10	75	75	259.7798	8.0007	0.000	
fix	76	76	267.7964	0.2002	0.000	
pst10	77	77	268.0464	8.0003	0.000	
fix	78	78	276.0631	0.2001	0.000	
pst10	79	79	276.3131	8.0001	0.000	
fix	80	80	284.3296	0.2004	0.000	
pst10	81	81	284.5463	8.0003	0.000	
fix	82	82	292.5631	0.2006	0.000	
relevance	83	83	292.7798	2.2788	2.276	7
fix	84	84	295.7797	1.0001	0.000	
liking	85	85	296.7971	0.5974	0.595	7
fix	86	86	299.7964	1.0004	0.000	
helpfulness	87	87	300.8298	1.5247	1.522	7
fix	88	88	303.8297	5.0006	0.000	
instrux	89	89	308.8464	5.0002	0.000	
fix	90	90	313.8630	1.0001	0.000	
cbt01	91	91	314.8964	8.0005	0.000	
